ID,Region,Area,Type,Status
MOMO-GER-001,GER,Frankfurt,Industrial Log.,Verified
MOMO-UK-002,UK,Manchester,A-Grade Office,Verified
MOMO-UAE-003,UAE,Dubai Hills,A-Grade Office,Verified
MOMO-UAE-004,UAE,Business Bay,Luxury Residential,Verified
MOMO-UAE-005,UAE,Dubai Hills,Industrial Log.,Verified
MOMO-AUS-006,AUS,Perth,Industrial Log.,Verified
MOMO-USA-007,USA,"Miami, FL",Industrial Log.,Verified
MOMO-UAE-008,UAE,Palm Jumeirah,Luxury Residential,Verified
MOMO-USA-009,USA,"Austin, TX",Industrial Log.,Verified
MOMO-UAE-010,UAE,Business Bay,Industrial Log.,Verified
MOMO-USA-011,USA,"Austin, TX",Industrial Log.,Verified
MOMO-UK-012,UK,Canary Wharf,Industrial Log.,Verified
MOMO-AUS-013,AUS,Melbourne,Luxury Residential,Verified
MOMO-UAE-014,UAE,Business Bay,Luxury Residential,Verified
MOMO-USA-015,USA,"Manhattan, NY",Industrial Log.,Verified
MOMO-GER-016,GER,Munich,A-Grade Office,Verified
MOMO-AUS-017,AUS,Sydney,A-Grade Office,Verified
MOMO-UK-018,UK,Mayfair,A-Grade Office,Verified
MOMO-GER-019,GER,"Mitte, Berlin",Luxury Residential,Verified
MOMO-GER-020,GER,Munich,Industrial Log.,Verified
MOMO-UAE-021,UAE,Business Bay,A-Grade Office,Verified
MOMO-UK-022,UK,Canary Wharf,A-Grade Office,Verified
MOMO-AUS-023,AUS,Melbourne,Luxury Residential,Verified
MOMO-UAE-024,UAE,Dubai Hills,A-Grade Office,Verified
MOMO-UAE-025,UAE,Palm Jumeirah,Luxury Residential,Verified
MOMO-UAE-026,UAE,Dubai Hills,Luxury Residential,Verified
MOMO-UK-027,UK,Manchester,Luxury Residential,Verified
MOMO-USA-028,USA,"Austin, TX",A-Grade Office,Verified
MOMO-AUS-029,AUS,Sydney,Luxury Residential,Verified
MOMO-UAE-030,UAE,Business Bay,A-Grade Office,Verified
MOMO-GER-031,GER,Munich,A-Grade Office,Verified
MOMO-UK-032,UK,Mayfair,Luxury Residential,Verified
MOMO-UK-033,UK,Canary Wharf,A-Grade Office,Verified
MOMO-UK-034,UK,Manchester,A-Grade Office,Verified
MOMO-UK-035,UK,Manchester,Luxury Residential,Verified
MOMO-AUS-036,AUS,Melbourne,Luxury Residential,Verified
MOMO-GER-037,GER,"Mitte, Berlin",Industrial Log.,Verified
MOMO-UK-038,UK,Canary Wharf,Luxury Residential,Verified
MOMO-AUS-039,AUS,Perth,Luxury Residential,Verified
MOMO-USA-040,USA,"Austin, TX",A-Grade Office,Verified
